Tweet,Target 1,Stance 1,seen?
"I believe it's true that Prozac along with talk therapy has been more effective than either alone for many depressed people. And not years of psychoanalysis either, but limited time cognitive therapy. The Prozac lessens the feeling of being out of control, subject to moods with little power over them. Then once that takes effect, the person can benefit from therapy, gaining some objectivity and distance from what had previously overwhelmed them. This may suffice, and also lead to taking positive steps to improve their lives, which would have been impossible without the stabilizing effect of Prozac drugs. Budget cutting has lessened availability of mental health treatment, leading to crime, violence, family pathology and incarceration. We should study the methods used in the many countries with universal tax supported health care. What are their mental health budgets, and how do they treat with Prozac type drugs and therapy where needed? Have these countries reduced funding for mental health as part of a spending austerity campaigns?",talk therapy,FAVOR,1
"Only Karina Gallardo mentioned automation. The importation of farm laborers will increase our population and only temporarily provide farm laborers. Hopefully, the children of the farm laborers will be educated and find better jobs. The use of imported farm laborers should only be considered a temporary solution. An alternative needs to be sought. This means that a significant amount of money must be allocated to the development of robots to do the picking. Robots have significant advantages over human including their willingness to do unpleasant jobs. They also may have better ability to detect the ripeness and quality of crops plants. Robots have the advantage of being able to sense light outside of the visible range and to be equipped with ultrasonic and other sensors. One potential benefit of a decrease in defense spending is that some very qualified members of the defense industry could be motivated to work on farm automation. Some medical imaging companies probably have relevant technology.",farm,FAVOR,1
"Kids already can and do use marijuana. The law isn't going to make a major difference here. It is hard to argue that marijuana should be illegal when alcohol and tobacco, both more harmful substances, are legal and widely promoted. And in your hysterical attempt to portray marijuana as the demon weed you ignore the fact that the arrests and violence that accompany marijuana use and sales do more harm than the drug actually does. I'm concerned about the fact that many kids don't understand that marijuana is harmful. Not only does it lead to demotivation in some, it now appears that it can permanenty lower the IQ of a teenage user by some 9 points. But alcohol also damages the teenage brain. What we need here is education, not prohibition, and a ban on advertising and promotion -- something we should have for alcohol and tobacco as well, but do not.",alcohol,FAVOR,1
"The Government has no business controlling its workers' free speech on religoius matters during off-hoursand to attempt to do so amounts to goverment endorsement of which religious practices are acceptable. This is easily demonstrable -- as follows: A person is an adherent to a new religion. This religion believes that the holy books of three large monotheistic religions, Judaism, Christianity and Islam, have been corrupted, have errors and therefore must be cleansed. The required cleansing is done by fire. Each Sabbath, adherents must burn one page of each of the holy books for these faiths. It is a bona-fide belief helf by adherents to this faith. If the government prevents them from conducting their cleansing ceremony because others are offended, then it is clearly taking sides on what does and does not constitute acceptable religous beliefs and practices.",worker free speech,FAVOR,1
"Personally I think airlines don't care about any of their workers. They most certainly don't care about the flying public/customer. This is reflected in the faces of all who are shoehorned and buckled into tiny seats. Like all other jobs today we humans are disposable workers, flight attendants included. I can handle a surly or neglectful attendant on occasion for it is a tough, demanding position but we can't let the airlines cut corners on their pilots. This worries me tremendously having worked for the airlines in the past. These mostly highly trained professionals are being abused and not paid decently. Don't get me wrong cabin crews are important but the person in the cockpit can not be marginalized or treated poorly. I think we can all agree that safe, happy and well rested and trained pilots are crucial to the business.",disposable worker,FAVOR,1
"It amazes me that what is best for children seems not to be part of this discussion. Why wouldn't we want as many children as possible to be able to participate in high school athletics? We all know the benefits of sports for kids, why would we want to deny home-schooled kids these same benefits just because they are doing their academic work outside of the classroom?",high school team,FAVOR,1
"I compete in the Miss America pageant system. In two of my interviews last year, I was asked how I failed and how I overcame that failure. Not only does the Miss America Organization fuel confidence in young women and provides scholarship, but it prepares us for real-world job interviews, public speaking, and brings out the servants' heart in all of us. A huge part of the Miss America Organization is community service. Since 2007, when we first partnered with Children's Miracle Network, the women competing in the organization have raised over $8 million JUST for that one charity. Aside from that, we all have a personal platform that we are advocates for including prevention of diseases, standing up against bullying and breaking stereotypes and barriers that are presented against women. I can't speak for every pageant system, but Miss America is a non-profit organization that is made up by dedicated volunteers. Some incredible women have gone through that organization to go on to incredible careers and futures and a lot of them credit their success to the journey and experience they gained from competing in this program.",woman,FAVOR,1
"Some of us don't buy into the Leave It To Beaver fantasy that people like this author think we should all just Stepford our way into. With jobs that pay a living wage unavailable and college debt financially crippling for a lifetime, most young people don't see any good options because our generation took all the money and ran.",young people,FAVOR,1
The best choice for low risk women is a outpatient birthing center staffed by midwives in a collaborative practice with a progressive obstetrician but steps away from a hospital operating room if an obstetrical emergency develops. This would be a safe and cost effective choice that many more women would opt for if it was made available and properly explained.,outpatient birthing center,FAVOR,1
"Having had my kids when I was 35 and 37 and having spent the day of my 50th birthday enduring the full on meltdown of a thirteen year old I came to the conclusion that women should have their only or last child when they are no older than 32. That way when you turn 50 your only or youngest child will be 18 and it can be a watershed moment for both of you. I said this to my dentist once as she was saying that she wasn't quite ready to have a baby yet, and I told her that in the early years it doesn't matter in terms of your energy for running around the playground if you are 35 or 40, it's later on when it matters and I felt like after the appt she ran out of the room to run home and get pregnant. But truly, even if you can get pregnant later and have healthy babies, it is brutal dealing with teens when you are going through your own changes.",childbirth,FAVOR,1
"""What is it about a good football team that exerts such a pull on alums? Why...would sophisticated erudite people invest so much emotion in the outcome of a game played by...20-year-olds? (Because)...we are bonded by common experience, and when the attachment originates with our school, the effect is powerful. We want to exult...in that feeling that comes with being part of a successful 'tribe'. A sports team represents everyone in the group, and serves as an agent of togetherness. Doesn't matter what your politics are, or where you're from, or what your job is--everyone can stand shoulder to shoulder and cheer for the Cardinal...We care, more than we usually want to admit, about what happens when those 20-year-olds take the football field on our behalf every Saturday. For those few hours, they are us and we are them."" From ""Stanford"", a publication of the Stanford Alumni Association, November/December, 2011 My sentiments, precisely.",college football,FAVOR,1
"The country is better off having two strong systems of higher education, publicly supported and private. Weakening one (under the unrealistic assumption that the monies fried up will be given to state institutions, and not the state Medicaid or roads program) is not a solution. The solution is what it has always been: wise and forward-thinking state legislators have generously funded public colleges.",system higher education,FAVOR,1
"The technology we have today isn't a product of our population. Think how well we could be living now if we hadn't deforested our lands, polluted our waters, degraded our soils and overtaxed our aquifers and rivers. Would the middle east seem so intractable a problem if there was still plenty of water and arable land available; if the population of the region was just a fraction of what it is today? Think of the vast advances civilization made in the first and second millenniums with less than a billion people living on this planet. If birth control had been practiced earlier in our history would we be any less advanced a civilization?",middle east,FAVOR,1
"Wait a minute: Don't very wealthy, un-elected people have huge power in every political area of influence in our culture. They have the success to show the way. We look up to them. Why shouldn't they have something constructive to say about education. I feel that traditionally trained teachers are chosen from the least talented pool of students. Their SAT and GRE scores are consistently in the bottom third. We need a bunch from the top third and the middle third, and we need huge improvement in MATH & SCIENCE. We do not need a bunch of obstructive, complacent union drones clogging up the arteries of education. We need more flexible educational leadership, and more rewards for excellent teachers.",need top third student teacher,FAVOR,1
"Israelis would become the minority in a single state, subject to whatever retributions desired by the majority Palestinians. Palestinians would remain second class citizens by virtue of the Israelis having developed both a wealthy economy and having developed and controlled both the modern infrastructure, businesses, and public institutions. The Palestinians would have to be given much of what is in Israeli hands and help them to learn how to manage it and money to support the transition from taxes upon the more well to do (Israelis) to achieve equality in a single state. That's a lot of potential pain and loss for Israelis in a single state.",palestinian,FAVOR,1
"I am not now, nor Have I ever been a beach person. I have often commented that beach front property would be wasted on me, and those who most want it and are willing to pay for it should have it. I do, however, believe that private ownership should be limited to the spaces above and adjoining the beaches. Public access to the beach seems to be a no-brainer. I believe we should also make these private owners of beach adjacent property responsible for rebuilding their own homes when the next storm or tsunami comes their way. Beach cottages used to be ramshackle affairs, built on sticks, with second hand wicker furniture. Now the hoipolloi builds mega million dollar mansions, filled with great furniture and art on the beach. Surprise surprise, your house got washed a way again. The Federal Government should stop encouraging and supplementing people who build irresponsible sand castles on foundations of sand.",beach property,FAVOR,1
"I have personal experience in this matter. My son started using drugs when he was in his teens. He got into trouble with the law and served time in prison. When he started to get his life back together he found himself unable to find a job because of his record. This had a devastating effect on his life. He worked in the underground economy which is a sure ticket to trouble. He got off drugs, married and had a son. But he relapsed and lost what little he had gained. Flash forward to the present: last September he was found dead in his apartment of an overdoes of heroin and fentanyl. He had been plagued by depression and self-medicated. Although he had hundred's of friends, and was considered a great person, he couldn't fight the demons alone. He is not blameless but the laws of our land that punished without any hope of rehabilitation certain conspired to keep him down.",drug addiction,FAVOR,1
"I had an intervention-free hospital birth with my first daughter and a home water birth with my second daughter. Women have been giving birth since the dawn of time. Why would we think that we need to be in a hospital, surrounded by strange germs, impersonal nurses/obs when we could be in our own home trusting the power of our body. It is time women learn to trust in their bodies, stay low risk through diet and exercise, and research research research. We do not have to be afraid of what our bodies were made to do. With the supervision of an experienced midwife, trained in natural birth, home births are safer than hospital births.",home birth,FAVOR,1
"""It is a news media-driven misperception that parents who claim philosophical or religious exemptions are uneducated or misinformed. MOST PARENTS WHO INDIVIDUALIZE THE VACCINE SCHEDULE ARE ACTIVELY EDUCATING THEMSELVES, CONTINUALLY ASSESSING THEIR FAMILY'S SPECIFIC HEALTH NEEDS, and doing everything they can to keep their children safe and healthy."" Ms. Margulis offers no data to support her blanket assertion about the industry and motivation of ""most parents,"" a position which, on its face, seems improbable given the breadth and weight of scientific evidence supporting immunization which is not subject to reasonable dispute. Based on anecdotal information, ""most parents"" are refusing to vaccinate their children based on their gross misunderstandings and unwarranted fears of the alleged risks of immunization, or based on their unique interpretations of religious dictates. If you intend to offer relevant commentary, Ms. Margulis, it should be evidence-based. Your personal opinions are no more interesting (or informed) than mine.",immunization,FAVOR,1
"Could someone explain to how ""see the doctor more than people of normal weight"" is proven by ""persons who are obese spent $1,429 (42 percent) more for medical care?"" Yes, being obese increases the risk of major hospitalization, but so does many other factors. Do we increase rates on a sliding scale based on weight? Oh, that extra five pounds after the holidays is goin' cost you. Are we also advocating forced retirements to reduce medical costs? How about genetic testing prior to being hired? Could we require listing your family medical history on the job application? Could we charge you more for insurance if you purchased a motorcycle, or a sports car, or a ski boat, or an ATV? What about TV, could we monitor your viewing time, and charge you more if you don't get enough exercise? Could we require tests of your spouse or kids? Your 150 lb, 10 year old has been dropped from your plan. This type of thought is insane.",healthcare obese people,FAVOR,1
"The thesis of the intro to this debate is that essays somehow free up students' thinking while the rigidity of term papers is stultifying. It's been a long time since high school and college, but I believe that all term papers begin with a thesis, much like this debate did. And the goal of a term paper is to rigorously examine all evidence supporting and conflicting with that thesis to test its validity. An essay simply puts forth a thesis and allows for a highly selective examination of evidence to support it. I truly believe the rigor of the former is essential in essential to training young minds to think clearly. Perhaps if the Tea Party members had been called upon to write term papers on economics, the nation would have preserved its credit rating and avoided our second slow-down. They would have been incapable of supporting their fiction that giving tax breaks to billionaires uplifts people the 25% of this nation who are underemployed or out of work.",research paper,FAVOR,1
"I saw and heard Michelle Obama last night and she was amazing. People could not stop cheering her. If the wives are an asset, why not give them space!. There is a saying in Latin America, ""behind a great man, there is a great woman"".",michelle obama,FAVOR,1
A great step toward creating a permanent underclass as educated people who MIGHT be able to do a good job do not have the time due to employment demands and the unqualified who never achieved a higher education themselves are free to under-educate their spawn. Who needs discrimination if the mom working part time at McDonald's is the intellectual inspiration for the next generation?,discrimination,FAVOR,1
"California's in-state/out-of-state tuition policies are a boon for Utah. Some of the smartest students I've met at Utah State University found that out-of-state tuition at USU is tens of thousands of dollars less than in-state tuition in California. So they came here instead. Perhaps public universities in Utah and California are playing the same game, trying to attract out-of-state residents who will pay more tuition at the expense of admitting qualified in-state applicants. When two states play this game, the state with a lower cost of living wins. As California seeks to attract overseas and out-of-state talent, it should seriously consider where outside its borders it is driving its own in-state talent to go.",tuition policy,FAVOR,1
"Non-compete clauses are not about protecting proprietary information. That can be done with non-disclosure agreements. What they're really about is inhibiting the free market for labor. Employers use non-compete clauses to discourage employees from leaving. That saves the employer the cost and trouble of training a new worker, and it keeps wages down by restricting the employee's ability to leave if he or she does not get a raise. Non-compete clauses should be banned as a simple matter of fairness, and because competition for labor makes companies better.",non compete clause,FAVOR,1
"Exxon provides a public good, too. Our economy would stop without gasoline and other petroleum products. What people object to about huge college endowments is the sense they are more about hoarding and bragging rights than providing scholarships. Harvard is holding $30 billion. That money could provide an education to tens of thousands of students at many universities, but instead serves as a line item in the US News ranking of colleges suggesting that Harvard provides a superior education because they have this hoard. States should require these institutions to spend more of their endowments on services or, if they can't, share the money with other colleges or the state.",economy,FAVOR,1
"The single most important issue is 'portion size'. People don't need to change how they cook as much as they need to change how much they cook. My son gained weight when he left home, but when he lost 50 lbs with the help of a diet sold by a national franchiser, he realised that the amount of food that he was served at home (and complained about) was a normal portion size. Now he is much more thoughtful about what food he orders, even from the fast food chains. Try searching on the term ""portion distortion' and look at the 2 powerpoint presentations from the NIH. They are very useful in teaching patients about what to eat and how active you must be if you eat the large portions that are sold.",diet,FAVOR,1
"Even an essay detailing a student's opinion on something must be well informed and researched. Besides being a tool for learning more in depth about a subject, a research paper teaches critical thinking skills. A good student should read and review relevant material if they are going to voice an opinion. Sure the internet makes it a bit easier to find information, but it is a double edged sword. Students must learn how to sort good sources from poor sources. They must learn to look at a writers or organizations credentials and decide if it is a qualified source. They need to ask questions about whether they think the writer's research or reporting is itself based on good evidence or whether their study was conducted well. There are plenty of resources available on the internet, but many would not be considered reliable by my professors at least. (For example, Wikipedia. I reference it in everyday life all the time for general information, but never for a research paper)",useful excercise college student,FAVOR,1
"If school budgets are so tight as to require elimination of librarians, from where -- pray tell -- will the money to buy computers for Internet access appear? Our public elementary school in Brooklyn, NY has hardly any computers. There isn't even one for students to use in our library to access our partially-automated card catalog, so I hope our librarian remains to help children find books.",school budget,FAVOR,1
"Teaching is a profession - we wouldn't want a doctor who wasn't educated in the profession, nor a plumber who was not trained in their profession, nor have a school constructed by someone not trained in engineering. We want a trained teacher conducting classes; outsiders coming in to supplement a lesson are fine, but not the same as a teaching professional.",experience,FAVOR,1
"Moving the U.S. Embassy to Jerusalem is a way to tell the Palestinians that compromise is necessary if they want an independent state. Ever since 1947, the Arab world has rejected an independent Palestinian state because it has not been willing to recognize facts on the ground and make necessary concessions. Never before in history has there been an independence movement that rejected a state of its own because of a boundary dispute. There are close to 500,000 Israeli Jews living in Maale Adumim and other areas around Jerusalem. Israel cannot move them away kicking and screaming--as it did with settlers in Gaza. The Arab world has to stop making statements like the Three No's of Khartoum, which happened in 1967, and the refusal of the generous agreement that Clinton negotiated at Taba in the last moments of his presidency. Moving the Embassy to Jerusalem will tell the Palestinians that they have to compromise.",us embassy,FAVOR,1
"Lentils, whole beans, millets are great sources of B vitamins, their bioavailability increases if they are soaked overnight. Millets can even be sprouted then pound into a flour, they are gluten free. Some millets contain high amounts of calcium as well. Quinoa is another rich source of nutrition all around. As far as brain food is concerned, dairy and dairy products make up for lack of meat protein. However for stric vegans who exclude fairly products or those with lactose intolerance, meat and meat products is a good option. Being flexible is a great thing, being too strict or restrictive doesn't help anyone. Moderation is key, mix of vegetarianism, non vegetarianism is awesome, if one is willing to be flexible. Life is colorful not black and white so why limit food?",food,FAVOR,1
"The subsidy programs need to be reformed, not eliminated. Tighter income/subsidy caps are needed. Programs that encourage innovation instead of requiring farmers to maintain subsidized acreages and surplus production. If we use black-and-white thinking and eliminate the entire program, the largest corporate farms will benefit. The smaller farms cannot compete against the cost efficiencies that come with scale. The health of our farms is important. Our farmers are stewards of our agricultural soils, arguably our most valuable natural resource. Let's not play politics with our land. Thoughtful reform instead of knee-jerk reactions to a system plagued with problems.",small farmer,FAVOR,1
"The very idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors or the elite in general. There was a time when the Church was against translating the Bible. (you can't have access to that, you're too much of an idiot!) The matter of the fact is that doctors now have to do their homework and be prepared to answer tough questions. Excellent!",medical website,FAVOR,1
"Yes. Thank you. Except: > And for those who develop a substance dependency, marijuana regulation will generate revenue to support drug treatment for those who need and want it. That's the reactive approach. Resources do need to go to treatment. but also to prior education. The fact that people do not recognize alcohol as a far more dangerous drug than marijuana is more proof than we'd ever need that we are making rules without having even a basic understanding of the science or sociology of addiction.",alcohol,FAVOR,1
"Home school is good thing. I've had great success in the classroom at the college level with home school students. Sports is not academics. There seems to be some value in permitting home school students to play sports from the social development perspective. As far as competition is concerned. A more appropriate mix of academics and competition is interscholastic speech competition (forensics and debate) and chess. These activities mix competition and academics much better. In fact, I believe funding for the above activities should be equal to sports. They also serve title nine objectives and should be counted as interscholastic competition activity, just like sports in competitive activity with some thinking taking place.",home school,FAVOR,1
"But what happens if the preschool standards include socialization skill development such as turn taking, perseverance, self-regulation through movement and meditation, and other techniques? Also, parents don't always make the best choice for their children. They can be strongly influenced by family and cultural norms, and be in denial of their children's developmental delays. Choice sounds wonderful--who wouldn't want more choice?--but when those choices are based in emotional reasoning and not logic and sound social science, choice can make parents feel good but rob children of what they need. Maybe we need better education of parents as part of the preschool model. Teachers and day care providers can be taught the skills for providing parental education and even breaking through denial to some degree.",preschool education,FAVOR,1
"What is happening in New York City is happening all over the world, as cities go out of their way to attract those with the highest incomes and push others to the outer edge. In NYC, the subways started to do that, making sure that bank clerks moved a long ways from Manhattan to the outer reaches of Brooklyn and and Queens. Now even those areas are high-priced. So, off to NJ. It is the European pattern where, as in France, the poorer immigrants are at the far,outer reaches of Paris.",favouritism city high earner,FAVOR,1
"I was glad to see some of the opinion-writers acknowledge that we really don't know the effects on individual behavior and population health of changes like the ones WalMart, New York City and others are making in food content, availability, pricing, and information. These changes -- banning trans fats, reducing sodium, posting calorie information -- are made with the best of intentions: to improve individual and population health. But if people simply eat more, or salt food by hand once it disappears from processed food, or drink GatorAde rather than soda, we really won't have made much progress. There should be a holistic, comprehensive approach, rather than piecemeal tinkering, ranging from big-farm subsidies (sugar and corn are obvious targets) to FDA regulation to consumer purchasing. Consumer education is great, but forced choice structural interventions would likely do more quickly to move us to a healthy population than consumer education would.",healthier,FAVOR,1
"I sincerely hope that Europe can learn from the mistakes the US made after 9/11. Al Qaeda pretty much won that round by correctly guessing the immense greed and lack of ethics of the Bush administration who whipped up public opinion to a fever pitch so they could get away with anything. They almost destroyed the world economy. If EU politicians allow public frenzy to mistreat their emigrant populations, Daesh will win. If EU politicians can come up with creative win-win solutions to mould a successful immigrant community, Europe will win.",emigrant population,FAVOR,1
"I am not now, nor Have I ever been a beach person. I have often commented that beach front property would be wasted on me, and those who most want it and are willing to pay for it should have it. I do, however, believe that private ownership should be limited to the spaces above and adjoining the beaches. Public access to the beach seems to be a no-brainer. I believe we should also make these private owners of beach adjacent property responsible for rebuilding their own homes when the next storm or tsunami comes their way. Beach cottages used to be ramshackle affairs, built on sticks, with second hand wicker furniture. Now the hoipolloi builds mega million dollar mansions, filled with great furniture and art on the beach. Surprise surprise, your house got washed a way again. The Federal Government should stop encouraging and supplementing people who build irresponsible sand castles on foundations of sand.",beach ownership,FAVOR,1
"The vast outpouring of criticism of Ms. Margulis is, honestly and sincerely, awesome to behold. I really can't put into words how happy it makes me to see people knocking down these illogical and dangerous beliefs. I had expected to see scores of comments supporting her but instead I see only a bare handful of people expressing tepid support. Maybe, just maybe, we are starting to put this anti-vax madness behind us.",mandatory child,FAVOR,1
"I would say if private owners insist that the public not be allowed access to public beaches, IE: high tide marks. All recovery of private property because of natural disaster be nullified. My tax dollars pay for these folks to recover loses due to their choice to build in obviously unstable environments. Therefore if the public may not cross their property to access the public lands; the Federal government should not be obligated to insure and/or pay for their loses. Enough government subsidies of private luxury, private beaches.",private property,FAVOR,1
"It should be clear by now that, given enough slack in their leash, the banks will take the path of highest leverage without concern for risk. Look at how they all copied Countrywide Financial so they could get a larger share of feed at the trough. Of course this will always end with the US taxpayer baling them out and financing hideously large bonuses to those that risked everyone else's money and lost. We desperately need the Glass Steagall wall between deposits and investments. It would also be a big help if we implement a method to lower income inequality so that unsustainable amounts of personal debt are required to prop up our economy. Remember when Chairman Greenspan testified on TV in a Senate hearing and urged existing homeowners to tap into their equity? The rapid rise in personal debt in the form of credit card debt, mortgages and student loans is feeding these to-big-to fail financial behemoths that throw their weight around Washington.",control,FAVOR,1
"Well in the last 50 years there has been at least a small improvement in thinking. One doesn't hear ""god will take care of us"" or ""we have always found new sources of oil before"" as much as one used to. But there is still a very limited understanding of the problem, probably because so few of us thought seriously for a minute when our high school teachers were covering entropy and the second law of thermodynamics. The solar constant ultimately determines the carrying capacity since it provides us with all renewable energy sources: wind, water, solar. It must cover not only our daily energy needs, but also the energy needed to recover and reuse all non-renewable resources that we mine and scatter around the world as products. This limiting factor also means of course that all national states will approach zero-growth, steady state economies.",climate change,FAVOR,1
"Flash backwards to 1972, Colorado, where the newly enfranchised 18 year olds put into office a whole rash of liberal democrats. I was one of those young voters. I have no doubt that young people today can similarly influence elections. And I sincerely hope they will.",colorado 1972,FAVOR,1
"Human males have strong instincts to select mates with good physical attributes. Women therefore seek to compete. The same phenomenon can be observed in insects, birds, and other mammals. Displays of fitness vary, and in some it is the females rather than the males that make the displays. So -- what is wrong with it? The process is comfortably Darwinian and it has contributed to our success as a species. I don't see why political correctness should be allowed to get in the way of that -- not that, in reality, you could argue men out of their attraction to beautiful women anyway.",miss america,FAVOR,1
"When I read all the different opinions on this topic, I can boil it down to two statements. 1) The cost of farm labour is a small faction of the eventual cost of foods. 2) The current American agricultural system vitally depends on having a supply of unskilled labourers who are willing to work seasonal jobs with long, grueling hours, unsafe conditions, and little to no chance of advancement. A sufficient pool of people does not exist among legal American workers.",illegal labor,FAVOR,1
"""Marijuana Is Now Big Business"" Wrong - marijuana has been big business for decades. The California Dept. of Agriculture has listed it as the number one cash crop in the state for over 20 years in a row. Now, the business is above ground, where it should be. Regulation, taxation, better education, savings in enforcement and incarceration costs - everybody wins. We are slowly now heading in the right direction - ending the biggest and most widespread wrongful jailing of American citizens since slavery. It can't happen quick enough.",pot,FAVOR,1
"My comprehensive high school sex education course was one of the most valuable to me of all my subjects. My high school classmates and I were the guinea pigs for the pilot program at LSU's University Lab School in 1953. The course was quite comprehensive. It covered the mechanics, contraception, VD, prostitution, deviant sexual behavior. I don't recall the word abstinence being used. However, the teacher, J.Q. Long, emphasized that sex should be more than a physical act with potentially serious consequences, physical and psychological, and was not to be undertaken casually. Twenty-five years later I was amazed when some parents in my children's school in Michigan objected to the sex education courses which I'm pretty sure were less comprehensive than mine thirty years before in Louisiana.",sex education,FAVOR,1
"As a feminist, and a mom of a boy and a girl, I want equal opportunity for both of them. I would love to find a college beyond Wabash that's all male. Because: on average boys are doing poorly in school compared with girls. It would be even better if that all-male school encouraged the arts--everything from fine arts to domestic arts, animal husbandry, and gardening, in addition to a rigorous curriculum of reading, writing, arithmetic, and science.",male school,FAVOR,1
"I agree with Robin. I had my babies at age 37 and 39, and they graduated college, and now I'm 61 and feel my age. They worry that I won't be able to take care of my grandchildren, whenever that happens. My mother was 40 when I was born, and never knew either child (she died at age 78). So don't postpone for a job, that's my advice. A job is just a job. Having children is exhausting, and you will understand their problems a whole lot better if you are younger rather than older.",motherhood late age,FAVOR,1
"When our kids were little, we made the obligatory trip to Disneyworld, but we coupled that with a trip to the Kennedy Space Center to watch a shuttle launch. We also took them on a driving tour of New England to see things like Mystic Seaport, Plimouth Plantation and Salem. When they got older we took them to the Grand Canyon, Europe and Japan, but they helped plan our vacations and so we made side trips to Meteor Crater and Legoland in Windsor. The kids are now grown and living in different states, but they still ask to take family vacations with us. These trips a good way to reconnect, but it is also clear they have given our kids first hand knowledge and real appreciation of the wider world.",parent,FAVOR,1
"Maine and several other eastern states define private ownership out the mean low tide level. Water covered zones are open to fishing, fowling, and water-borne navigation, but not recreation. I certainly support the idea of public access, especially in areas where barrier reefs and islands naturally move around. I don't think your typical Maine coast solid-rock ledge is in that category.",private ownership,FAVOR,1
"Freedom has been known to come with a price. I suggest that all children who are non vaccinated wear masks in all public places, including school. Perhaps those wise, well edcated and freedom loving parents will reconsider their choice not to vaccinate.",vaccination,FAVOR,1
"If only judges in the 1930s had loudly spoken out against fascist politicians and leaders. Now, in the 21st century, when the rule of law itself is under attack, it is their ethical duty to do so. And shame on Professor Gillers, whom I normally hold in high regard.",election,FAVOR,1
"Safeguarding the public's health is primarily the responsibility of the public - a small but important point. I say good for Walmart. Of course it's a PR move, but it's a good one. Michelle Obama being at their announcement was a PR move, heck, the State of the Union is a PR move. If you are looking for different motives from business or government you are dreaming.",healthier,FAVOR,1
"To say that most teachers look back at their first years of teaching with regrets is an understatement. As a teacher for 22 years, I can attest to the effort it takes to gain competence and mastery. After years of reflection, feedback, more reflection and refinement of techniques, I am proud of the product given to my wonderful middle school math students. And many people would have said I was pretty good 22 years ago. Would you rather use an automobile mechanic who is untested or the tried and true pro?",first time teacher,FAVOR,1
"I adopted at 40 and have no regrets. But I do wish sometimes that I had the strength I used to have a decade back. A late child allowed me to enjoy my career, travel the world and see all kinds of late night movies/plays and do trekking and a lot of other stuff that a lot of my friends just could not do because they were stuck at home with their babies. So, yes - delaying a baby definitely worked for me. My friends are now sending their kids off to college while I'm still teaching addition n subtraction - true. But I'm a happier person and a better mom because I'm not resenting my kid as the reason for not fulfilling my career ambitions or not having enjoyed my own space.",motherhood,FAVOR,1
The U.S. Needs to honor its long standing commitment to the defense of Taiwan. If as is put forth here there is concern over the growing ability and accuracy of China's ballistic missiles the solution needs to be the inclusion of Taiwan in the Aegis ashore missile defense program as well as upgrading Taiwan's Patriot air defense batteries to the latest PAC-3 missiles and associated radar systems. None of this is offensive in nature and only can threaten China to the extent that it reduces China's ability to threaten Taiwan. Not selling Taiwan the latest defense hardware because we are concerned that China will stop selling us cheap consumer products may be a foreign policy but it's not a very wise one.,u.s. support taiwan,FAVOR,1
"A friend of mine (a French citizen) married an American citizen. Both speak each other's language, and both acquired each other's citizenship. Renouncing their original citizenship would have been an insult to their respective parents and to the nations that raised them.",foreign language,FAVOR,1
"The only way to attract Americans to work in the farms is to (1) pay the workers a decent wage; (2) make the job year-round, not just seasonal; (3) provide health insurance benefits; and (4) offer 401K opportunity. The prices of fruits and vegetable will go up. But as Professsor Philip Martin points out, the net cost to the consumers will be minimal. Society will benefit because more Americans will be taken off the unemployment roster and will be paying income tax.",decreasing unemployment,FAVOR,1
"Concur wholeheartedly with much of the article. The fact is, those with advanced degrees and good skill sets get much better pay and benefits in private industry and leave government on a regular basis (contrary to many of those who claim government employment compensation and benefits are better). In my own case, the private salary I was offered was 3 x the salary in government and had better benefits as well. The problems at the top are large but we never hear that from the smaller government proponents.",privatization,FAVOR,1
"The actual choice is between global government control of the internet or global business control of the internet. During the past 18 years, businesses have dominated the internet and repeatedly attempted to assert a new form of law that supersedes all national constitutions and law. Key issues of privacy, freedom of speech, intellectual property, and employment are at stake. Only the US Government's continuing presence at a distance has prevented the net from becoming an international kleptocracy. Only governments are rooted in law. They should govern the internet.",control internet,FAVOR,1
7 out of the 10 most prosperous countries in the world are constitutional monarchies as well as 7 out 10 most democratic countries. Constitutional monarchies are the most successful form of government in todays world. The US ranks 12th for prosperity and 21st for democracy.,monarch,FAVOR,1
Columbia College allowed me and countless other lower income students to study at one of the great universities of the world for almost no tuition. I graduated from Columbia with no student loans and this has allowed me to practice medicine in rural Upstate New York. I will always be grateful to Columbia and I will continue to contribute money toward their scholarship fund. Why would you want to damage a great university such as Columbia with a new tax policy? The money I contribute helps other students from lower income families attend this wonderful college.,student loan,FAVOR,1
"Of course we need more secure borders. We must decide at the very beginning if we are going to have borders or if we are not. If the answer is that we must have borders, then those borders must be secure, or they might as well just open them to the world. Not an easy decision, but one which must be made. According to most estimates, there are 11 million undocumented immigrants in our country. Some estimates are even higher. If we have, so far, been unable to locate. identify and detain those 11 million people, how will we find and detain the next 11 million after this current group is processed and given what they have been seeking? And the next 11 million after that? And the next? And the next?",border security,FAVOR,1
"Just over 70 years ago we allied with Josef Stalin to defeat Nazi Germany. stalin's Soviet Union was at least as bad as the Assad regime is now. ISIS might not yet be the existential threat posed by the Axis powers but it is heading that way. Point being that we should do whatever is necessary short of WMD to defeat this evil. Even if it means cooperating with Assad whose regime, while brutal, poses no threat to the US.",u.s,FAVOR,1
